Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
NGC 956                ;And  ;02 32 16.7 +44 36 08 ;Op   ;OC?  ;   42.00;  2020;   8.90;                                                       ;Somewhat dubious
OPD 83                 ;And  ;02 37 55.8 +46 44 34 ;Op   ;MG   ;  900.00;   133;   9.25;                                                       ;Found 11* to G<14.5, good RVs
ASCC 126               ;And  ;23 05 49.2 +51 04 12 ;Op   ;OC?  ;   33.60;   772;   7.26;Theia 1165                                             ;
Aveni-Hunter 1         ;And  ;23 37 10.1 +48 33 00 ;Op   ;EC   ;   60.00;   421;   8.26;And I, And T1, BM And Grp                              ;Assoc to neb GN 23.35.4
TPK 1                  ;And  ;23 39 18.0 +47 30 36 ;Op   ;OCR? ;   23.00;   474;   9.40;TC 2339+4730, Patchick 41, Kronberger 16               ;Very poor: only 10* to G=16
Alessi 22              ;And  ;23 48 07.0 +36 12 18 ;Op   ;OCR? ;  170.00;   369;   8.92;V707 And Cl, Theia 1106                                ;
Turner 5               ;Ant  ;09 33 08.2 -36 21 29 ;Op   ;OC   ;   93.70;   416;   8.49;                                                       ;The Cepheid T Ant is in backgr. at 3400 pc
TC 1453-7658           ;Aps  ;14 57 33.0 -77 08 15 ;Op   ;OCR? ;   78.00;   281;   8.40;                                                       ;Found 11*, PMs= -17..-10, -15..-7, good RVs
IC 4499                ;Aps  ;15 00 19.0 -82 12 49 ;Op   ;GC   ;   12.00; 19030;  10.10;                                                       ;Surrounded by a halo
OPD 74                 ;Aps  ;15 23 18.7 -71 36 02 ;Op   ;MG   ; 1280.00;    58;       ;                                                       ;Found 8* to G<16.5, PMs =-97..-79, -77..-43
NGC 6101               ;Aps  ;16 25 49.0 -72 12 06 ;Op   ;GC   ;   10.00; 14010;  10.10;                                                       ;Contain an unexpected large number of Black Holes
OPD 84                 ;Aps  ;16 44 20.8 -73 45 27 ;Op   ;MG   ;  880.00;   292;       ;                                                       ;Found 7* to G < 13, good RVs
2MASS J1842-0330       ;Aql  ;18 42 19.9 -03 30 09 ;IR   ;OC   ;    1.00;  3430;       ;                                                       ;
Bica 77                ;Aql  ;18 42 51.5 -03 43 57 ;IR   ;OC?  ;    1.40;  3400;       ;                                                       ;Somewhat dubious
Ryu 901                ;Aql  ;18 43 01.3 -03 34 33 ;IR   ;EC   ;    1.60;  7400;       ;                                                       ;In HII reg Lockman G28.78+0.25, dist from Anderson+ 2014
LMR 64                 ;Aql  ;18 43 01.8 -03 47 28 ;IR   ;SFR  ;   13.50;  8700;       ;                                                       ;
SUH 16                 ;Aql  ;18 43 03.2 -03 41 46 ;IR   ;EC   ;    0.60;  9600;       ;                                                       ;In HII reg HRDS G28.68+0.17, dist from Anderson+ 2012
Aladin J1843-0351      ;Aql  ;18 43 15.8 -03 51 51 ;Op   ;OC   ;    2.60;  3000;       ;                                                       ;
BDSB 124               ;Aql  ;18 43 16.0 -03 35 42 ;IR   ;EC   ;    1.20;  7813;   7.90;                                                       ;In HII reg WAM G28.80+0.17
Russeil 59             ;Aql  ;18 43 29.1 -03 50 19 ;IR   ;EC   ;    2.00;  6000;       ;                                                       ;
UCEC 4                 ;Aql  ;18 43 46.0 -03 35 30 ;IR   ;EC   ;    0.75;  6800;       ;IRAS 18411-0338                                        ;In HII reg WHR 18411-0338
Urq G28.98+0.07        ;Aql  ;18 43 58.5 -03 28 42 ;IR   ;EC   ;    1.20; 10400;       ;                                                       ;In HII reg WISE G29.00+0.08
BSP 4                  ;Aql  ;18 44 27.5 -03 20 49 ;IR   ;SFR  ;   11.70;  8970;       ;                                                       ;
Alicante 7             ;Aql  ;18 44 30.0 -03 29 00 ;IR   ;RSG  ;    5.00;  7180;   7.30;RSGC 5                                                 ;
Steine 17              ;Aql  ;18 44 33.0 -00 17 54 ;Op   ;OC?  ;    4.40;  3500;       ;Russeil 66                                             ;
Bica 78                ;Aql  ;18 44 40.0 -03 11 21 ;Op   ;RSG? ;    2.00;  3200;       ;                                                       ;Compact, includes RSG stars?
Alicante 9             ;Aql  ;18 44 43.0 -03 14 30 ;IR   ;RSG  ;    4.50;  3080;       ;Masgomas-3, Ryu 268                                    ;
RM 13                  ;Aql  ;18 44 45.6 -03 45 28 ;IR   ;EC   ;    1.40;  5300;       ;LMR 66                                                 ;Inside the shell of HII reg. WAM G28.82-0.22
Spitzer J1844-0345     ;Aql  ;18 44 51.2 -03 45 40 ;IR   ;EC   ;    1.20;  4760;       ;                                                       ;Near RM 16, in UC HII region G28.83-0.25, at the border of the shell of HII reg. WAM G28.82-0.22
PanSTARRS J1844-0343   ;Aql  ;18 44 51.6 -03 43 56 ;Op   ;OC?  ;    1.40;  2700;       ;                                                       ;Near RM 16, dist from GDR2 mean
Alicante 10            ;Aql  ;18 45 12.0 -03 42 05 ;IR   ;OC   ;    6.00;  5100;   6.30;                                                       ;
PanSTARRS J1845-0235 A ;Aql  ;18 45 13.9 -02 35 08 ;Op   ;OC   ;    3.40;  1360;       ;                                                       ;Tight VPD!
Ryu 912                ;Aql  ;18 45 18.0 -02 48 12 ;Op   ;OC   ;    1.30;  4300;       ;                                                       ;
RM 15                  ;Aql  ;18 45 20.5 -02 00 04 ;IR   ;EC   ;    3.00;  7300;       ;LMR 69                                                 ;
RSGC 3 Assoc           ;Aql  ;18 45 24.0 -03 23 00 ;IR   ;OB   ;   45.00;  7180;       ;                                                       ;Incl RSGs, RSGC 3, Alicante 7, 9
RSGC 3                 ;Aql  ;18 45 24.0 -03 23 00 ;IR   ;RSG  ;    5.00;  7180;   7.30;                                                       ;
PanSTARRS J1845-0200   ;Aql  ;18 45 27.5 -02 00 37 ;Op   ;OC   ;    2.60;  2460;       ;                                                       ;
BSP 6                  ;Aql  ;18 45 44.0 -02 32 12 ;IR   ;EC   ;    1.80;  7400;       ;Ryu 916                                                ;In HII reg HRDS G30.02+0.11, dist from Anderson+ 2012
BSP 3                  ;Aql  ;18 45 44.6 -01 29 14 ;IR   ;SFR  ;    4.90; 12900;       ;                                                       ;Inside the shell of HII reg. WAM G30.96+0.59
Spitzer J1845-0230     ;Aql  ;18 45 51.7 -02 30 16 ;IR   ;EC   ;    1.00;  5820;       ;                                                       ;In HII reg WISE G30.06+0.09, dist from Traficante+ 2015
PanSTARRS J1845-0235 B ;Aql  ;18 45 54.0 -02 35 54 ;Op   ;OC?  ;    2.30;  2850;       ;                                                       ;Dist from GDR2 mean
FSR 87                 ;Aql  ;18 46 00.0 -03 37 15 ;IR   ;OC   ;   10.00;  2890;   8.25;                                                       ;
SUH 18                 ;Aql  ;18 46 02.3 -02 45 43 ;IR   ;EC   ;    1.90;  6300;       ;                                                       ;In HII reg WISE G29.86-0.05, dist from Anderson+ 2014
BDSB 125               ;Aql  ;18 46 04.0 -02 39 19 ;IR   ;EC   ;    1.00;  9100;   6.00;                                                       ;In HII reg WISE G29.95-0.02, dist from Anderson+ 2014
BSP 5                  ;Aql  ;18 46 05.9 -02 41 13 ;IR   ;SFR  ;   15.80;  5950;       ;RM 14, Ryu 913                                         ;Sev HII regs nearby, poss more than one cl, dist from Anderson+ 2014
Spitzer J1846-0245     ;Aql  ;18 46 11.0 -02 45 14 ;IR   ;OC   ;    1.60;  4900;       ;                                                       ;Dist from GDR2 mean
Ryu 915                ;Aql  ;18 46 16.2 -02 36 34 ;IR   ;EC   ;    1.30;  8900;       ;IRAS 18436-0239                                        ;In HII reg HRDS G30.02-0.04, dist from Anderson+ 2012
BDSB 10                ;Aql  ;18 46 21.0 -03 47 42 ;Op   ;EC   ;    4.00;  4800;   7.60;                                                       ;In HII reg Lockman G28.98-00.60
Ryu 921                ;Aql  ;18 46 24.3 -02 15 24 ;IR   ;EC   ;    1.00;  5200;       ;IRAS 18437-0218                                        ;In HII reg WISE G30.34+0.09, dist from Urquhart+ 2018
Urq G30.22+0.27        ;Aql  ;18 46 24.5 -02 24 00 ;Op   ;YAs  ;  144.00;   647;   7.05;Theia 12                                               ;Contains BSP 12
LMR 67                 ;Aql  ;18 46 36.7 -03 43 46 ;IR   ;SFR  ;    8.00; 11500;       ;                                                       ;
UCEC 6                 ;Aql  ;18 46 37.0 -01 45 21 ;IR   ;EC   ;    0.70;  6600;       ;IRAS 18440-0148                                        ;In HII reg WISE G30.81+0.272
SFC 17                 ;Aql  ;18 46 37.0 -01 59 25 ;IR   ;OB   ;   48.00;  6300;       ;RMM 17, RM 17, LMR 72, BSP 10, Russeil 62              ;D= 5.65, 6.3, 6.3, 8.2 Kpc
Mercer 11              ;Aql  ;18 46 41.0 -02 44 07 ;IR   ;EC   ;    2.30;  3830;       ;GLIMPSE 11                                             ;Dist avg of GDR2 stars in the area
BSP 1                  ;Aql  ;18 46 59.1 -02 06 26 ;IR   ;SFR  ;    8.40; 11600;       ;                                                       ;From Billot et al. (2011ApJ...735...28B)
RM 16                  ;Aql  ;18 47 00.0 -02 07 06 ;IR   ;EC   ;    1.00; 11900;       ;LMR 70                                                 ;
LMR 68                 ;Aql  ;18 47 01.9 -02 40 54 ;IR   ;SFR  ;   24.20;  8500;       ;                                                       ;
Ryu 919                ;Aql  ;18 47 03.3 -02 30 15 ;IR   ;EC   ;    3.00;  7300;       ;                                                       ;Three HII regions and poss 2 clusters in the area, dist from Anderson+ 2014
PanSTARRS J1847-0335   ;Aql  ;18 47 06.6 -03 35 48 ;Op   ;OC?  ;    2.80;  2080;       ;                                                       ;
PanSTARRS J1847-0204   ;Aql  ;18 47 09.5 -02 04 02 ;Op   ;OC?  ;    1.00;  3490;       ;                                                       ;Somewhat dubious
SUH 20                 ;Aql  ;18 47 10.3 -02 19 13 ;IR   ;EC   ;    1.50;  6200;       ;IRAS 18445-0222, Mol 71                                ;In HII reg WISE G30.38-0.11, dst from Anderson+ 2014
Ryu 920                ;Aql  ;18 47 25.4 -02 24 52 ;IR   ;EC   ;    3.20;  7300;       ;BSP 7                                                  ;Three HII regions nearby, dist from Anderson+ 2014
W 43 Cl                ;Aql  ;18 47 36.0 -01 56 33 ;IR   ;EC   ;    2.70;  5700;       ;BDB 18, MDF 7                                          ;In W43, inc WR *
UCEC 5                 ;Aql  ;18 47 39.0 -02 20 52 ;IR   ;EC   ;    0.30;  7300;       ;IRAS 18450-0224                                        ;In HII reg WISE G30.41-0.22
BSP 8                  ;Aql  ;18 47 39.6 -02 19 55 ;IR   ;SFR  ;    6.10;  7960;       ;                                                       ;
Santa 192              ;Aql  ;18 47 41.0 -03 49 32 ;Op   ;OC   ;    4.00;  2300;       ;Prestgard 2                                            ;Appears just below Nova Aql 2010, Cl? next to Sh2-65, on a photo taken by Dean Salman (www.sharplesscatalog.com)
Froebrich 6            ;Aql  ;18 47 48.0 -01 42 00 ;IR   ;RSG  ;    6.00;  6000;   7.20;                                                       ;Diam from extr rad, cluster of RSGS
Mercer 12              ;Aql  ;18 47 49.0 -01 56 31 ;IR   ;EC   ;    1.60;  6470;       ;GLIMPSE 12                                             ;
BSP 9                  ;Aql  ;18 48 01.4 -01 53 47 ;IR   ;SFR  ;    7.30;  7650;       ;                                                       ;
G3CC 60                ;Aql  ;18 48 02.1 -01 33 26 ;IR   ;EC   ;    1.10; 11420;       ;                                                       ;In HII reg WISE G31.15+0.04
BSP 2                  ;Aql  ;18 48 04.4 -01 56 07 ;IR   ;SFR  ;    6.60; 11200;       ;                                                       ;
Russeil 65             ;Aql  ;18 48 06.0 -01 38 00 ;IR   ;SFR  ;   20.00; 12600;       ;                                                       ;Tentative diam from Spitzer image
BSP 12                 ;Aql  ;18 48 16.0 -02 20 03 ;Op   ;EC   ;    3.10;   624;       ;IRAS 18456-0223, Ryu 923                               ;In HII reg WISE G30.48-0.36, dist from Gaia DR2
BSP 11                 ;Aql  ;18 48 18.6 -02 06 58 ;IR   ;SFR  ;    5.30;  5520;       ;                                                       ;
SUH 19                 ;Aql  ;18 48 40.0 -03 03 50 ;IR   ;EC   ;    3.30;  5100;       ;                                                       ;In HII reg WISE G29.88-0.78, dist from Anderson+ 2014
Spitzer J1848-0110     ;Aql  ;18 48 41.9 -01 10 09 ;IR   ;EC   ;    0.50;  6100;       ;                                                       ;In HII reg WISE G31.58+0.07, dist from Anderson+ 2014
GLIMPSE-GC 1           ;Aql  ;18 48 49.7 -01 29 50 ;IR   ;GC   ;    2.30;  4100;       ;                                                       ;
Ryu 914                ;Aql  ;18 48 52.0 -03 01 09 ;IR   ;EC   ;    3.40;  5250;       ;                                                       ;Two HII reg nearby, dist from Anderson+ 2014, compact string of stars in the N, subcluster?
LMR 71                 ;Aql  ;18 48 54.4 -02 17 54 ;IR   ;SFR  ;   14.60;  7600;       ;Russeil 63                                             ;
Spitzer J1848-0111     ;Aql  ;18 48 57.4 -01 11 55 ;IR   ;OC?  ;    6.00;  3000;       ;                                                       ;Very uncertain dist: mean of 4* only
PanSTARRS J1849-0046   ;Aql  ;18 49 31.7 -00 46 12 ;Op   ;OC?  ;    2.00;  3020;       ;                                                       ;
SUH 21                 ;Aql  ;18 49 33.0 -00 38 02 ;IR   ;EC   ;    1.30;  4800;       ;                                                       ;In HII reg WISE G32.15+0.13
FSR 94                 ;Aql  ;18 49 51.8 -01 04 01 ;Op   ;OC?  ;    2.80;  2069;   6.00;                                                       ;
LMR 73                 ;Aql  ;18 49 53.9 -00 40 04 ;IR   ;SFR  ;    6.30;  8100;       ;RM 18                                                  ;
Masgomas-1             ;Aql  ;18 50 16.0 +00 21 05 ;Op   ;RSG  ;    3.00;  3500;   6.90;                                                       ;Massive (M > 10^4MSun) cluster with confirmed OB and RSG population (arXiv:1801.08683v1)
Spitzer J1850-0001     ;Aql  ;18 50 31.0 -00 01 58 ;IR   ;EC   ;    1.40; 13100;       ;Russeil 67                                             ;In HII reg WISE G32.80+0.19
Wallace 1              ;Aql  ;18 51 04.0 -01 02 40 ;Op   ;OC   ;    2.00;  4000;       ;GSC 5114-118 Grp                                       ;
Prestgard 1            ;Aql  ;18 51 07.0 -02 11 04 ;Op   ;OC   ;    2.30;  2180;       ;                                                       ;
LMR 74                 ;Aql  ;18 51 51.5 +00 02 42 ;IR   ;SFR  ;   13.00;  7600;       ;                                                       ;
SUH 22                 ;Aql  ;18 51 57.0 +01 16 59 ;IR   ;EC   ;    2.30; 11700;       ;IRAS 18494+0113                                        ;In HII reg WISE G34.13+0.47, dist from Anderson+ 2014
Bica 83                ;Aql  ;18 51 59.7 +01 13 41 ;IR   ;EC   ;    0.60; 11800;       ;                                                       ;In HII reg WISE G34.08+0.43, dist from Anderson+ 2014
Spitzer J1852+0046     ;Aql  ;18 52 11.4 +00 46 37 ;IR   ;OC   ;    4.00;  3300;       ;                                                       ;Very uncertain dist: avg of gaia stars in the field
PanSTARRS J1852-0013   ;Aql  ;18 52 15.0 -00 13 23 ;Op   ;OC   ;    2.00;  4250;       ;                                                       ;
Bica 82                ;Aql  ;18 52 20.3 +00 25 50 ;IR   ;EC   ;    1.30;  9300;       ;IRAS 18497+0022                                        ;In HII reg WISE G33.41-0.00, dist from Anderson+ 2014
Russeil 69             ;Aql  ;18 52 30.0 +00 30 00 ;IR   ;SFR  ;   20.00;  7100;       ;                                                       ;Tentative diam from Spitzer image
BDSB 126               ;Aql  ;18 52 51.0 +00 55 28 ;IR   ;EC   ;    1.10;  6830;       ;                                                       ;In HII reg WISE G33.91+0.10
SFC 19                 ;Aql  ;18 53 08.4 +01 18 45 ;IR   ;OB   ;   18.00;  2200;       ;RMM 19                                                 ;
Azatyan-Nikoghosyan 5  ;Aql  ;18 53 18.4 +01 24 47 ;IR   ;EC   ;    1.90;  3900;       ;IRAS 18507+0121, G3CC 61                               ;This cluster is located in the UC HII region G34.4+0.23
BDSB 127               ;Aql  ;18 53 20.0 +01 14 39 ;IR   ;EC   ;    2.00;  2490;   6.80;IRDC G34.4+0.2                                         ;In G34.3+0.1, in W 44
BDSB 128               ;Aql  ;18 53 22.0 +01 13 58 ;IR   ;EC   ;    0.80;  1560;       ;                                                       ;In HII reg NRAO 584
Mol 75 Cl              ;Aql  ;18 53 38.1 +01 50 27 ;IR   ;EC   ;    1.10;  1560;       ;IRAS 18511+0146                                        ;In HII reg WISE G34.82+0.35
Mercer 13              ;Aql  ;18 53 53.0 +00 37 39 ;IR   ;OC   ;    1.00;  3000;   7.81;GLIMPSE 13                                             ;
Spitzer J1853+0204     ;Aql  ;18 53 56.0 +02 04 04 ;IR   ;EC   ;    0.70;  5500;       ;IRAS 18513+0200                                        ;V compact, v uncertain dist based on only 1 faint GDR2 star
SUH 138                ;Aql  ;18 54 00.8 +02 01 27 ;IR   ;EC   ;    1.00;  3500;       ;                                                       ;In HII reg WISE G35.02+0.35
Spitzer J1854+0201     ;Aql  ;18 54 07.6 +02 01 44 ;IR   ;EC   ;    0.70;  2540;       ;                                                       ;In HII reg, dist from Ellsworth-Bowers+, 2015
Urq G34.69-0.05        ;Aql  ;18 54 51.6 +01 32 46 ;IR   ;OC   ;    1.60;  4800;       ;                                                       ;
SUH 23                 ;Aql  ;18 55 16.8 +01 21 19 ;IR   ;EC   ;    3.20;  1700;       ;                                                       ;Very uncertain dist: avg of gaia stars in the field
RM 21                  ;Aql  ;18 55 59.9 +02 03 52 ;IR   ;SFR  ;   26.60; 11000;       ;                                                       ;
Masgomas-4 A           ;Aql  ;18 56 05.0 +07 57 20 ;IR   ;EC   ;    1.10;  1900;   7.00;IRAS 18536+0753                                        ;
Bica 86                ;Aql  ;18 56 07.0 +01 59 55 ;IR   ;OC   ;    2.80;  5700;       ;                                                       ;Very uncertain dist: avg of gaia stars in the field
Masgomas-4 B           ;Aql  ;18 56 11.6 +07 53 20 ;IR   ;EC   ;    2.20;  1900;   7.00;IRAS 18536+0749                                        ;
Bica 85                ;Aql  ;18 56 24.0 +01 56 08 ;IR   ;OC   ;    2.50;  5600;       ;                                                       ;Very uncertain dist: avg of gaia stars in the field
UCEC 7                 ;Aql  ;18 56 48.0 +01 18 45 ;IR   ;EC   ;    0.40;  2900;       ;IRAS 18542+0114                                        ;In HII reg IRAS 18542+0114
LMR 77                 ;Aql  ;18 56 50.5 +01 39 27 ;IR   ;SFR  ;    5.40; 10800;       ;Russeil 70                                             ;
NGC 6724               ;Aql  ;18 57 00.0 +10 20 00 ;Op   ;OC?  ;    8.50;  6800;   9.40;                                                       ;Somewhat dubious
RM 20                  ;Aql  ;18 57 01.5 +01 39 02 ;IR   ;EC   ;    3.80;  3000;       ;                                                       ;
LMR 76                 ;Aql  ;18 57 06.6 +01 19 26 ;IR   ;SFR  ;    6.30; 10800;       ;                                                       ;
Mercer 14              ;Aql  ;18 58 05.0 +01 36 38 ;IR   ;EC   ;    1.20;  2210;       ;GLIMPSE 14                                             ;
Dewangan 1             ;Aql  ;18 58 11.0 +01 37 01 ;IR   ;EC   ;    2.20;  2200;       ;                                                       ;In G35.2-0.74 (ARO 143, not a PN)
BDSB 129               ;Aql  ;18 58 13.0 +01 40 37 ;IR   ;EC   ;    1.40;  2210;       ;                                                       ;In HII reg WISE G35.19-0.74
Mol 82 Cl              ;Aql  ;18 59 03.2 +03 53 17 ;IR   ;EC   ;    0.90;  6550;       ;IRAS 18565+0349                                        ;
SUH 143                ;Aql  ;18 59 07.0 +07 02 56 ;IR   ;EC   ;    0.60;  1900;       ;                                                       ;Dist from Urquhart+ 2018
Mol 84 Cl              ;Aql  ;18 59 14.3 +07 04 52 ;IR   ;EC   ;    0.60;  1930;       ;Bica 97, Sh2-75                                        ;In HII reg WISE G40.11+1.49
Bica 646               ;Aql  ;18 59 37.4 +03 48 49 ;IR   ;EC   ;    1.30; 10800;       ;                                                       ;In HII reg WISE G37.25-0.08
Ryu 899                ;Aql  ;18 59 38.7 -05 58 33 ;Op   ;OC   ;    1.70;  3500;       ;                                                       ;Very uncertain dist, median from Bairler-Jones+ 2018
Bica 647               ;Aql  ;18 59 42.4 +03 53 37 ;IR   ;EC   ;    0.70;  3700;       ;                                                       ;In HII reg WISE G37.33-0.06
Majaess 197            ;Aql  ;18 59 45.5 +01 01 34 ;IR   ;EC   ;    1.90;  2200;       ;                                                       ;Dist from Hu+ 2016 (Ultra-compact HII regions & methanol masers. I)
Masgomas-6 A           ;Aql  ;19 00 04.5 +03 46 28 ;IR   ;EC   ;    7.20;  4170;       ;                                                       ;Center, diam and dist calculated from stars in the Table 3 of the disc paper
Masgomas-6 B           ;Aql  ;19 00 10.8 +03 46 00 ;IR   ;EC   ;    5.70;  8520;       ;                                                       ;In background of Masgomas-6 A (arXiv:1801.08683)
SUH 142                ;Aql  ;19 00 16.0 +04 03 14 ;IR   ;EC   ;    1.60; 10200;       ;                                                       ;In HII reg WISE G37.54-0.11
Bica 649               ;Aql  ;19 00 25.0 +04 08 25 ;IR   ;EC   ;    0.90; 10400;       ;                                                       ;In HII reg WISE G37.63-0.10
NGC 6735               ;Aql  ;19 00 37.2 -00 29 53 ;Op   ;OC   ;   10.00;  2248;   8.33;                                                       ;Incl cepheid V493 Aql
Bica 650               ;Aql  ;19 01 02.0 +04 11 59 ;IR   ;EC   ;    1.10;  9100;       ;W 47?                                                  ;In HII reg WISE G37.76-0.21
TC 1901-1006           ;Aql  ;19 01 07.0 -10 05 20 ;Op   ;OCR? ;   13.00;   628;       ;HD 176607 Grp                                          ;Very poor, only 7*
RM 22                  ;Aql  ;19 01 07.1 +03 52 20 ;IR   ;SFR  ;   24.80; 10500;       ;                                                       ;
SFC 22                 ;Aql  ;19 01 08.0 +03 27 27 ;IR   ;OB   ;   14.00; 10500;       ;RMM 22                                                 ;
Patchick 60            ;Aql  ;19 01 12.0 +12 28 33 ;Op   ;OC   ;    5.00;  2460;       ;                                                       ;
RM 23                  ;Aql  ;19 01 18.7 +04 45 34 ;IR   ;OB   ;   12.00;  6700;       ;SFC 23                                                 ;
MVM G37.51-0.46        ;Aql  ;19 01 27.2 +03 51 56 ;IR   ;OC   ;    1.50;  6100;       ;                                                       ;
Aql OB1                ;Aql  ;19 01 29.0 +03 36 20 ;Op   ;OB   ;  420.00;  2750;       ;                                                       ;
Spitzer J1901+0454     ;Aql  ;19 01 33.5 +04 54 19 ;IR   ;OC?  ;    1.60;  1521;       ;                                                       ;Dist v uncert: median dist of stars in Bailer-Jones+ 2018
W 48 Cl                ;Aql  ;19 01 47.0 +01 13 03 ;IR   ;EC   ;    1.50;  3270;       ;BDB 24                                                 ;In G35.2-1.7, in W 48
SUH 24                 ;Aql  ;19 01 54.0 +04 12 58 ;IR   ;EC   ;    2.00;  9500;       ;                                                       ;In HII reg WISE G37.87-0.39
Russeil 73             ;Aql  ;19 02 00.0 +02 07 40 ;IR   ;SFR  ;    8.00;  1100;       ;                                                       ;Id? Tentative diam from 2MASS/WISE images
SUH 140                ;Aql  ;19 02 11.0 +01 21 04 ;IR   ;EC   ;    2.00;  2800;       ;IRAS 18596+0116                                        ;In HII reg WISE G35.35-1.77
Bica 88                ;Aql  ;19 02 22.0 +01 19 17 ;IR   ;EC   ;    1.50;  3270;       ;                                                       ;Dist from Hou+ 2014
FG Aql Cl              ;Aql  ;19 02 22.2 -05 36 20 ;Op   ;OC   ;   13.00;   400;       ;                                                       ;Incl FG and FH Aql
Urq G39.25-0.05        ;Aql  ;19 03 12.6 +05 36 01 ;IR   ;EC   ;    3.00; 11800;       ;                                                       ;Three HII reg
Russeil 74             ;Aql  ;19 03 36.0 +02 13 00 ;IR   ;SFR  ;   23.00;  4000;       ;                                                       ;Tentative diam from 2MASS/WISE images
Mercer 15              ;Aql  ;19 03 40.0 +05 10 12 ;IR   ;EC   ;    1.90; 10250;       ;GLIMPSE 15                                             ;In HII reg WISE G38.92-0.35
Bica 96                ;Aql  ;19 03 43.0 +05 10 33 ;IR   ;OC   ;    0.70; 10250;       ;                                                       ;Close pair with Mercer 15. adopted latter dist
Bica 95                ;Aql  ;19 03 47.0 +05 09 42 ;IR   ;EC   ;    1.60;  2800;       ;                                                       ;In the shell of HII reg WISE G38.92-0.38
Bica 94                ;Aql  ;19 03 55.0 +05 06 58 ;IR   ;EC   ;    3.90;  3700;       ;                                                       ;In HII reg WISE G38.90-0.44, dist from Traficante+ 2015
SUH 141                ;Aql  ;19 04 03.0 +02 16 52 ;IR   ;EC   ;    1.00;  2490;       ;IRAS 19015+0212                                        ;
UCEC 8                 ;Aql  ;19 04 03.7 +05 07 54 ;IR   ;EC   ;    0.30;  2700;       ;SUH 25                                                 ;In HII reg MSX6C G38.93-00.45
Mercer 16              ;Aql  ;19 04 20.0 +05 06 32 ;IR   ;EC   ;    1.80;  2750;       ;GLIMPSE 16                                             ;In HII reg WISE G38.95-0.54
Juchert J1904+1124     ;Aql  ;19 04 26.7 +11 24 19 ;Op   ;OC   ;    1.70;  4900;       ;                                                       ;
UPK 55                 ;Aql  ;19 04 26.8 +15 40 52 ;Op   ;OC   ;   39.40;   832;   8.05;Alessi J1904+1541, Theia 495                           ;
Majaess 198            ;Aql  ;19 05 14.0 +01 37 17 ;IR   ;OC?  ;    9.00;      ;       ;                                                       ;
NGC 6749               ;Aql  ;19 05 15.0 +01 54 03 ;Op   ;GC   ;    6.00;  7902;  10.00;Berkeley 42                                            ;
LMR 82                 ;Aql  ;19 05 20.0 +07 32 54 ;IR   ;EC   ;    3.20;  7900;       ;                                                       ;Related dust emission
LMR 81                 ;Aql  ;19 06 19.3 +07 08 33 ;IR   ;SFR  ;   16.60;  9100;       ;Russeil 82                                             ;
UCEC 10                ;Aql  ;19 06 29.3 +06 21 42 ;IR   ;EC   ;    0.40;  5800;       ;IRAS 19040+0616                                        ;In HII reg WISE G40.30-0.43
FSR 124                ;Aql  ;19 06 52.0 +13 15 21 ;Op   ;OC   ;    5.00;  3026;   8.75;SAI 127                                                ;
Alessi 56              ;Aql  ;19 06 53.3 +09 35 05 ;Op   ;OC   ;    2.20;  5745;   8.59;GLIMPSE 19                                             ;
G3CC 62                ;Aql  ;19 07 00.0 +05 23 05 ;IR   ;EC   ;    0.70;  3630;       ;UCEC 9, IRAS 19045+0518, Mol 94                        ;
UCEC 11                ;Aql  ;19 07 00.6 +08 18 44 ;IR   ;EC   ;    0.30;  1600;       ;Mol 95                                                 ;In HII reg WISE G42.09+0.35
LMR 83                 ;Aql  ;19 07 05.0 +07 38 42 ;IR   ;EC   ;    1.60; 11700;       ;Russeil 83                                             ;In HII reg WISE G41.51+0.02
SGR 1900+14 Cl         ;Aql  ;19 07 14.0 +09 19 21 ;IR   ;OC   ;    0.30; 13530;       ;BDB 25                                                 ;
Juchert 3              ;Aql  ;19 07 32.6 +06 16 44 ;Op   ;OC   ;    3.40;  3204;   8.92;FSR 115, Masgomas-5                                    ;
Czernik 39             ;Aql  ;19 07 42.2 +04 20 13 ;Op   ;OC   ;    3.80;  3549;   8.94;FSR 111                                                ;
LMR 86                 ;Aql  ;19 07 59.0 +08 18 40 ;IR   ;SFR  ;    9.70;  9000;       ;                                                       ;
Teutsch 118            ;Aql  ;19 08 09.0 +04 14 00 ;Op   ;OC   ;    2.00;  4030;       ;                                                       ;
LMR 84                 ;Aql  ;19 08 28.2 +07 58 58 ;IR   ;SFR  ;    6.10; 11600;       ;Russeil 84                                             ;
BDSB 11                ;Aql  ;19 08 43.2 +05 35 59 ;IR   ;EC   ;    2.00;  2093;   8.40;Russeil 80                                             ;In HII reg WISE G39.88-1.27
SUH 26                 ;Aql  ;19 09 02.0 +05 34 48 ;Op   ;EC   ;    1.30;  2510;       ;IRAS 19065+0529                                        ;In HII reg WISE G39.90-1.35
HD 179002 Grp          ;Aql  ;19 09 08.0 -07 24 54 ;Op   ;OC?  ;   63.00;  1460;       ;                                                       ;Somewhat dubious: some spread in pi
Mercer 17              ;Aql  ;19 09 19.4 +08 11 13 ;IR   ;OC   ;    2.00;  2600;       ;GLIMPSE 17                                             ;Very uncertain dist, median from Bairler-Jones+ 2018
